"G: 16000, DT: 0.0007"		x	y	vx	vy	p_mag	v_mag
	100000.01	45.84639708	88.18428921	1794.960055	-909.8362162	99.3899441	2012.382553
	100000.01	48.33163633	86.85783857	1768.456561	-959.9442028	99.39935206	2012.195686
	100000.01	50.77829452	85.46205291	1740.549106	-1009.271554	99.40924345	2011.999071
	100000.01	53.18443069	83.9980668	1711.261195	-1057.77865	99.41961021	2011.79287
	100000.01	55.54813798	82.46706948	1680.617465	-1105.426607	99.43044394	2011.577253
	100000.01	57.86754516	80.87030384	1648.643659	-1152.177313	99.44173583	2011.3524
	100000.01	60.1408182	79.20906526	1615.366606	-1197.993459	99.45347673	2011.118495
	100000.01	61.25959183	78.35468751	1598.248035	-1220.539639	99.4595126	2010.998208
	100000.01	63.46030986	76.59928044	1563.068713	-1264.885822	99.47190906	2010.751089
	100000.01	65.61048102	74.782861	1526.657768	-1308.207884	99.48473008	2010.495414
	100000.01	67.70841287	72.90689901	1489.0456	-1350.471567	99.49796529	2010.231392
	100000.01	69.75245653	70.97291129	1450.263561	-1391.643545	99.51160399	2009.959241
	100000.01	71.74100801	68.98246027	1410.343929	-1431.691456	99.52563517	2009.679184
	100000.01	73.67250941	66.93715269	1369.319873	-1470.583926	99.54004749	2009.39145
	100000.01	75.54545021	64.83863814	1327.225425	-1508.290592	99.55482933	2009.096274
	100000.01	77.35836839	62.68860762	1284.095444	-1544.782125	99.56996879	2008.793898
	100000.01	79.10985156	60.4887921	1239.965582	-1580.030258	99.58545368	2008.484568
	100000.01	80.79853808	58.24096099	1194.872255	-1614.007796	99.60127154	2008.168536
	100000.01	82.42311801	55.94692061	1148.852601	-1646.688648	99.61740966	2007.84606
	100000.01	83.98233416	53.60851265	1101.944455	-1678.047835	99.63385509	2007.517402
	100000.01	85.47498302	51.22761258	1054.186304	-1708.061514	99.65059464	2007.182827
	100000.01	86.19598349	50.02182292	1030.000675	-1722.556652	99.65907052	2007.013406
	100000.01	87.58664429	47.5807711	981.0410316	-1750.509884	99.67622604	2006.670466
	100000.01	88.90796937	45.10205304	931.3302418	-1777.063065	99.69364175	2006.322297
	100000.01	90.75776067	41.31769224	855.4443952	-1814.224854	99.7202227	2005.79085
	100000.01	91.9014569	38.75353235	804.0340124	-1837.1941	99.73822762	2005.43084
	100000.01	92.97253725	36.15875124	752.0163255	-1858.699414	99.75644327	2005.066599
	100000.01	93.97019564	33.53541481	699.4334051	-1878.725274	99.77485513	2004.698417
	100000.01	94.89368528	30.88560941	646.3276871	-1897.257389	99.79344856	2004.32659
	100000.01	95.74231913	28.21144011	592.7419348	-1914.282705	99.8122088	2003.951416
	100000.01	96.51547032	25.51502892	538.7192028	-1929.789408	99.83112095	2003.573193
	100000.01	97.21257252	22.79851312	484.3027994	-1943.766932	99.85017004	2003.192224
	100000.01	97.83312029	20.06404344	429.5362502	-1956.205957	99.86934097	2002.808812
	100000.01	98.3766693	17.31378238	374.463261	-1967.098417	99.88861859	2002.423261
	100000.01	98.84283656	14.54990238	319.1276818	-1976.437496	99.90798766	2002.035877
	100000.01	99.2313006	11.77458412	263.5734701	-1984.21763	99.92743292	2001.646966
	100000.01	99.54180155	8.990014781	207.844655	-1990.434507	99.94693903	2001.256837
	100000.01	99.77414124	6.198386236	151.9853009	-1995.085062	99.96649065	2000.865797
	100000.01	99.92818318	3.401893357	96.03947285	-1998.167475	99.98607239	2000.474153
	100000.01	100.0038525	0.602732262	40.05120048	-1999.681166	100.0056689	2000.082214
	100000.01	100.0011361	-2.196901421	-15.93555638	-1999.626792	100.0252648	1999.690288
	100000.01	99.92008196	-4.994814271	-71.87694233	-1998.006236	100.0448447	1999.298681
	100000.01	99.76079963	-7.788816791	-127.7292404	-1994.822607	100.0643933	1998.9077
	100000.01	99.52345954	-10.57672511	-183.4489059	-1990.080222	100.0838954	1998.517649
	100000.01	99.2082929	-13.35636266	-238.9925992	-1983.784608	100.1033356	1998.128833
	100000.01	98.81559137	-16.12556187	-294.3172188	-1975.942482	100.1226989	1997.741555
	100000.01	98.34570663	-18.88216582	-349.3799336	-1966.561748	100.1419702	1997.356114
	100000.01	97.79905003	-21.62402989	-404.1382141	-1955.651479	100.1611345	1996.97281
	100000.01	97.17609214	-24.34902338	-458.5498644	-1943.221911	100.1801768	1996.59194
	100000.01	96.47736217	-27.05503111	-512.5730519	-1929.284425	100.1990824	1996.213797
	100000.01	95.70344753	-29.73995503	-566.1663381	-1913.851533	100.2178367	1995.838674
	100000.01	94.85499318	-32.40171581	-619.2887077	-1896.936868	100.2364251	1995.466859
	100000.01	93.44410055	-36.34642768	-698.0006926	-1868.819074	100.2639653	1994.915963
	100000.01	92.41249075	-38.94132001	-749.7693663	-1848.26681	100.2820764	1994.553661
	100000.01	91.30904264	-41.50594085	-800.9273156	-1826.289061	100.2999721	1994.195652
	100000.01	90.13465201	-44.03831381	-851.4357791	-1802.90429	100.3176384	1993.842211
	100000.01	88.89026826	-46.53648942	-901.2565701	-1778.131985	100.3350619	1993.493607
	100000.01	87.57689366	-48.99854658	-950.3521022	-1751.992644	100.352229	1993.150106
	100000.01	86.19558245	-51.42259392	-998.685414	-1724.507751	100.3691267	1992.811968
	100000.01	84.74743991	-53.80677114	-1046.220193	-1695.699757	100.385742	1992.47945
	100000.01	83.23362147	-56.14925039	-1092.920801	-1665.592064	100.402062	1992.152805
	100000.01	81.65533172	-58.44823757	-1138.752294	-1634.208997	100.4180744	1991.83228
	100000.01	80.01382343	-60.70197356	-1183.680445	-1601.575792	100.4337669	1991.518118
	100000.01	78.3103965	-62.90873551	-1227.671769	-1567.718565	100.4491274	1991.210554
	100000.01	76.54639692	-65.06683806	-1270.69354	-1532.664296	100.4641443	1990.909822
	100000.01	74.72321567	-67.17463448	-1312.713813	-1496.440808	100.4788061	1990.616147
	100000.01	72.84228763	-69.23051786	-1353.701443	-1459.076736	100.4931016	1990.329751
	100000.01	70.9050904	-71.23292222	-1393.626104	-1420.601514	100.5070199	1990.050848
	100000.01	68.91314318	-73.18032361	-1432.458307	-1381.045345	100.5205505	1989.779647
	100000.01	66.86800556	-75.07124112	-1470.16942	-1340.439179	100.533683	1989.516352
	100000.01	64.77127628	-76.90423795	-1506.73168	-1298.814692	100.5464074	1989.26116
	100000.01	62.62459204	-78.6779224	-1542.118216	-1256.204257	100.5587142	1989.01426
	100000.01	60.4296262	-80.39094878	-1576.303058	-1212.640922	100.5705939	1988.775839
	100000.01	58.1880875	-82.04201834	-1609.261155	-1168.158385	100.5820377	1988.546072
	100000.01	55.90171881	-83.6298802	-1640.968392	-1122.79097	100.5930367	1988.325131
	100000.01	53.57229573	-85.15333215	-1671.401598	-1076.5736	100.6035827	1988.113181
	100000.01	51.20162531	-86.61122147	-1700.538565	-1029.541773	100.6136677	1987.910379
	100000.01	47.57230751	-88.67272787	-1741.767378	-957.5459238	100.6279142	1987.623656
	100000.01	45.10661854	-89.96199925	-1767.572991	-908.6367993	100.6368141	1987.444367
	100000.01	42.60623467	-91.18207421	-1792.012367	-859.0416165	100.6452279	1987.274722
	100000.01	40.07308734	-92.33203189	-1815.067762	-808.7981412	100.6531492	1987.114847
	100000.01	37.50913178	-93.41100474	-1836.722456	-757.9445716	100.6605721	1986.96486
	100000.01	34.91634554	-94.41817913	-1856.960756	-706.5195117	100.667491	1986.824871
	100000.01	32.29672704	-95.35279588	-1875.768009	-654.5619455	100.6739006	1986.694985
	100000.01	29.65229412	-96.21415076	-1893.130608	-602.11121	100.6797961	1986.575296
	100000.01	26.98508258	-97.00159494	-1909.036001	-549.2069688	100.6851732	1986.465894
	100000.01	24.29714466	-97.71453545	-1923.472697	-495.8891851	100.6900277	1986.366859
	100000.01	21.59054759	-98.35243556	-1936.430269	-442.1980954	100.694356	1986.278264
	100000.01	18.86737204	-98.91481513	-1947.899365	-388.1741825	100.6981548	1986.200174
	100000.01	16.12971067	-99.40125092	-1957.871709	-333.8581484	100.7014213	1986.132647
	100000.01	13.37966658	-99.8113769	-1966.340106	-279.2908876	100.704153	1986.075732
	100000.01	10.6193518	-100.1448844	-1973.298449	-224.51346	100.7063479	1986.029471
	100000.01	7.850885786	-100.4015225	-1978.741716	-169.5670639	100.7080043	1985.993899
	100000.01	5.076393852	-100.581098	-1982.665979	-114.4930091	100.709121	1985.969042
	100000.01	2.298005681	-100.6834756	-1985.068403	-59.33268938	100.7096971	1985.954917
	100000.01	-0.482146228	-100.7085781	-1985.947246	-4.127555917	100.7097323	1985.951536
	100000.01	-3.26192809	-100.6563863	-1985.301864	51.08091021	100.7092264	1985.9589
	100000.01	-6.039206367	-100.526939	-1983.132708	106.251225	100.7081798	1985.977004
	100000.01	-8.811849304	-100.3203333	-1979.441326	161.3419287	100.7065934	1986.005836
	100000.01	-12.95746777	-99.86610732	-1971.056156	243.7381532	100.7032043	1986.069148
	100000.01	-15.70922147	-99.46740987	-1963.57316	298.4488464	100.7002744	1986.124686
	100000.01	-18.44891484	-98.99234919	-1954.581968	352.9354018	100.6968106	1986.190844
	100000.01	-21.17444311	-98.44128216	-1944.089041	407.1568043	100.6928154	1986.26757
	100000.01	-23.88371168	-97.8146229	-1932.101925	461.0722119	100.688292	1986.35481
	100000.01	-26.57463764	-97.11284249	-1918.629247	514.6409832	100.6832436	1986.452499
	100000.01	-29.24515131	-96.33646868	-1903.680712	567.8227037	100.6776742	1986.560565
	100000.01	-31.8931977	-95.48608553	-1887.267094	620.5772133	100.6715878	1986.678927
	100000.01	-34.51673804	-94.56233304	-1869.400232	672.8646327	100.6649891	1986.8075
	100000.01	-37.11375124	-93.5659067	-1850.093027	724.6453905	100.6578831	1986.946187
	100000.01	-39.68223537	-92.49755708	-1829.359431	775.8802499	100.6502751	1987.094887
	100000.01	-42.22020914	-91.35808928	-1807.214442	826.5303352	100.6421708	1987.25349
	100000.01	-44.72571336	-90.14836244	-1783.674093	876.5571583	100.6335763	1987.421878
	100000.01	-47.19681234	-88.86928913	-1758.755447	925.9226453	100.6244982	1987.599926
	100000.01	-49.63159536	-87.52183479	-1732.476587	974.5891628	100.6149433	1987.787504
	100000.01	-52.02817809	-86.10701704	-1704.856604	1022.519544	100.6049189	1987.984471
	100000.01	-54.38470395	-84.62590502	-1675.915587	1069.677115	100.5944324	1988.190682
	100000.01	-56.69934555	-83.07961867	-1645.674616	1116.025721	100.5834918	1988.405983
	100000.01	-58.97030602	-81.46932799	-1614.155745	1161.529751	100.5721055	1988.630215
	100000.01	-61.19582039	-79.79625222	-1581.38199	1206.154165	100.5602819	1988.86321
	100000.01	-64.44510171	-77.17170262	-1529.921141	1271.366325	100.5417466	1989.228753
	100000.01	-66.54950032	-75.34731407	-1494.117089	1313.642366	100.5288701	1989.482883
	100000.01	-68.60254565	-73.4647835	-1457.146113	1354.921005	100.5155893	1989.745141
	100000.01	-70.60263247	-71.52554109	-1419.035399	1395.17008	100.5019141	1990.01533
	100000.01	-72.54819455	-69.53106132	-1379.813016	1434.358134	100.4878551	1990.293249
	100000.01	-74.43770585	-67.48286196	-1339.507901	1472.454446	100.4734229	1990.578688
	100000.01	-76.26968175	-65.38250296	-1298.149843	1509.429047	100.4586285	1990.871433
	100000.01	-78.04268023	-63.23158545	-1255.769463	1545.252751	100.4434833	1991.171265
	100000.01	-79.75530295	-61.03175055	-1212.398196	1579.897171	100.4279987	1991.477958
	100000.01	-81.40619646	-58.78467827	-1168.068273	1613.334749	100.4121866	1991.79128
	100000.01	-82.99405322	-56.49208632	-1122.812701	1645.538774	100.3960591	1992.110996
	100000.01	-84.51761271	-54.15572886	-1076.665241	1676.483406	100.3796285	1992.436863
	100000.01	-85.97566244	-51.77739534	-1029.660386	1706.143698	100.3629075	1992.768635
	100000.01	-87.36703897	-49.35890914	-981.8333449	1734.495618	100.3459088	1993.10606
	100000.01	-88.69062887	-46.90212632	-933.2200128	1761.516067	100.3286455	1993.448882
	100000.01	-89.94536965	-44.40893426	-883.8569522	1787.182904	100.3111308	1993.796841
	100000.01	-91.13025072	-41.88125034	-833.7813678	1811.474963	100.2933783	1994.149671
	100000.01	-92.2443142	-39.32102051	-783.0310824	1834.372076	100.2754016	1994.507104
	100000.01	-93.2866558	-36.7302179	-731.6445114	1855.855086	100.2572145	1994.868866
	100000.01	-94.25642559	-34.11084137	-679.6606373	1875.905874	100.2388311	1995.234681
	100000.01	-95.15282881	-31.46491404	-627.1189833	1894.507369	100.2202656	1995.604267
	100000.01	-95.97512656	-28.79448183	-574.059586	1911.643571	100.2015324	1995.977342
	100000.01	-96.7226365	-26.1016119	-520.5229678	1927.299564	100.182646	1996.353618
	100000.01	-97.39473352	-23.38839114	-466.5501088	1941.461536	100.1636209	1996.732806
	100000.01	-98.26025481	-19.28501159	-384.8635605	1959.875741	100.1348558	1997.306406
	100000.01	-98.74146549	-16.53015924	-329.9821277	1970.249596	100.1155491	1997.691587
	100000.01	-99.14553434	-13.76239282	-274.811065	1979.08998	100.0961559	1998.078644
	100000.01	-99.47210064	-10.98386842	-219.3930455	1986.388218	100.0766914	1998.467278
	100000.01	-99.72086375	-8.196752992	-163.7710334	1992.136817	100.0571708	1998.857186
	100000.01	-99.89158345	-5.403222772	-107.9882528	1996.329472	100.0376092	1999.248064
	100000.01	-99.98408026	-2.605461545	-52.08815424	1998.961076	100.0180221	1999.639608
	100000.01	-99.99823575	0.194341024	3.88561736	2000.027735	99.99842459	2000.03151
	100000.01	-99.93399275	2.993991093	59.88925682	1999.526772	99.97883221	2000.423464
	100000.01	-99.79135559	5.79129236	115.8788323	1997.456736	99.95926029	2000.815163
	100000.01	-99.57039015	8.584047787	171.8103198	1993.81741	99.93972419	2001.206299
	100000.01	-99.27122405	11.37006133	227.6396376	1988.609815	99.92023928	2001.596563
	100000.01	-98.89404663	14.14713969	283.3226818	1981.836218	99.90082092	2001.985648
	100000.01	-98.43910898	16.91309403	338.8153614	1973.500132	99.8814844	2002.373247
	100000.01	-97.90672385	19.66574178	394.0736339	1963.606323	99.86224499	2002.759052
	100000.01	-97.29726558	22.40290832	449.0535422	1952.16081	99.84311789	2003.142759
	100000.01	-96.61116992	25.12242879	503.7112496	1939.170864	99.82411824	2003.524061
	100000.01	-95.84893383	27.82214984	558.0030776	1924.645011	99.80526108	2003.902655
	100000.01	-95.01111522	30.49993135	611.8855416	1908.593029	99.78656136	2004.278241
	100000.01	-94.09833263	33.15364821	665.3153884	1891.025947	99.76803393	2004.650518
	100000.01	-93.1112649	35.78119205	718.2496327	1871.956038	99.74969351	2005.019187
	100000.01	-92.05065069	38.38047302	770.6455945	1851.396818	99.7315547	2005.383955
	100000.01	-90.91728811	40.94942144	822.460936	1829.363038	99.71363193	2005.744529
